City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Zhaotong,CN,27.3167,103.7167,47.16,95,100,4.52,overcast clouds
242,Houston,US,29.7633,-95.3633,78.13,85,0,6.91,clear sky
243,Grand Forks,US,47.9417,-97.4337,37.13,65,100,23.02,overcast clouds
244,Cairns,AU,-16.9167,145.7667,83.07,79,40,9.22,scattered clouds
245,Asau,RO,46.4333,26.4,51.28,96,100,2.08,light rain
246,Ilheus,BR,-14.7889,-39.0494,71.62,84,16,7.56,few clouds
247,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,14.97,scattered clouds
248,Baykit,RU,61.67,96.37,37.09,82,100,8.25,overcast clouds
249,Yellowknife,CA,62.456,-114.3525,24.57,86,20,3.44,few clouds
250,Srednekolymsk,RU,67.45,153.6833,11.93,95,100,4.54,overcast clouds
251,Taksimo,RU,56.3444,114.8794,38.35,83,83,3.18,broken clouds
252,Kinshasa,CD,-4.3246,15.3215,84.16,59,78,2.68,broken clouds
253,Lisakovsk,KZ,52.5369,62.4936,62.53,20,82,10.25,broken clouds
254,Muros,ES,42.7762,-9.0603,60.15,94,90,1.9,overcast clouds
255,Venice,US,27.0998,-82.4543,74.98,92,100,0.69,overcast clouds
256,San Patricio,US,28.017,-97.5169,80.49,84,0,4.9,clear sky
257,Bien Hoa,VN,10.95,106.8167,89.58,67,100,9.22,overcast clouds
258,Ingham,US,42.6,-84.3833,48.38,96,100,7.65,overcast clouds
259,Laguna,US,38.421,-121.4238,66.09,85,0,6.91,clear sky
260,Mar Del Plata,AR,-38.0023,-57.5575,48.09,77,75,15.01,broken clouds
261,Axim,GH,4.8699,-2.2405,78.91,82,79,8.23,light rain
262,Chuy,UY,-33.6971,-53.4616,52.61,78,22,10.13,few clouds
263,Sidney,AU,-33.8679,151.2073,66.76,80,100,11.99,overcast clouds
264,Coquimbo,CL,-29.9533,-71.3436,53.33,93,40,2.3,scattered clouds
265,Goderich,CA,43.7501,-81.7165,55.9,83,100,10.22,overcast clouds
266,Puerto Ayacucho,VE,5.6639,-67.6236,73.45,98,100,2.98,overcast clouds
267,Bonthe,SL,7.5264,-12.505,76.59,85,99,4.94,overcast clouds
268,Geraldton,AU,-28.7667,114.6,68.41,45,0,21.85,clear sky
269,Ribeira Grande,PT,38.5167,-28.7,72.77,78,40,9.22,scattered clouds
270,Sangar,RU,63.9242,127.4739,27.07,82,100,9.89,overcast clouds
271,Souillac,MU,-20.5167,57.5167,79.18,53,40,12.66,scattered clouds
272,Tessalit,ML,20.1986,1.0114,87.75,11,0,13.82,clear sky
273,Trairi,BR,-3.2778,-39.2689,77.79,79,60,14.16,broken clouds
274,Portland,US,45.5234,-122.6762,63.81,76,0,4.61,clear sky
275,Sibolga,ID,1.7427,98.7792,83.14,71,89,5.14,overcast clouds
276,Itarema,BR,-2.9248,-39.9167,77.99,82,17,17.87,few clouds
277,Demyansk,RU,57.643,32.466,44.2,71,4,3.83,clear sky
278,Harrisburg,US,40.2737,-76.8844,64.54,82,100,8.05,overcast clouds
279,Nanortalik,GL,60.1432,-45.2371,26.24,61,3,3.98,clear sky
280,Bisira,PA,8.5196,-81.7115,60.22,99,100,2.28,overcast clouds
281,Dunedin,NZ,-45.8742,170.5036,46.8,76,54,1.68,broken clouds
282,Inuvik,CA,68.3499,-133.7218,20.16,93,40,6.91,scattered clouds
283,Port Moresby,PG,-9.4431,147.1797,81.82,83,40,17.27,haze
284,Alta Floresta,BR,-9.8756,-56.0861,68.27,99,100,4.47,overcast clouds
285,Westerland,DE,54.9079,8.3033,55.42,76,0,10.36,clear sky
286,Lae,PG,-6.7221,146.9847,84.87,75,100,6.29,overcast clouds
287,Yining,CN,29.0361,114.5636,76.71,33,0,5.61,clear sky
288,Lengshuitan,CN,26.4111,111.5956,80.56,20,11,9.04,few clouds
289,Kurilsk,RU,45.2333,147.8833,48.65,67,0,3.4,clear sky
290,Tiksi,RU,71.6872,128.8694,21.31,91,100,4.88,overcast clouds
291,Ebebiyin,GQ,2.1511,11.3353,69.85,94,100,1.36,overcast clouds
292,Rognan,NO,67.0953,15.3878,46.54,97,100,7.25,overcast clouds
293,Port Hardy,CA,50.6996,-127.4199,42.98,100,20,3.44,few clouds
294,Cayenne,GF,4.9333,-52.3333,75.24,94,100,1.14,overcast clouds
295,Mahebourg,MU,-20.4081,57.7,79.09,53,40,12.66,scattered clouds
296,Neiafu,TO,-18.65,-173.9833,77.95,74,70,3.49,broken clouds
297,Fuerte,PH,17.5381,120.3644,86.11,59,60,2.66,broken clouds
298,Leningradskiy,RU,69.3833,178.4167,16.77,76,100,5.75,overcast clouds
299,Makushino,RU,55.2103,67.2442,56.64,42,100,14.9,overcast clouds
300,Sharjah,AE,25.3573,55.4033,98.89,9,0,5.75,clear sky
301,Victoria,HK,22.2855,114.1577,90.18,52,9,8.01,clear sky
302,Fleetwood,GB,53.9253,-3.0109,47.84,93,20,5.75,few clouds
303,Esperance,AU,-33.8667,121.9,57.79,62,52,15.99,broken clouds
304,Maarianhamina,AX,60.0973,19.9348,51.66,87,40,10.36,scattered clouds
305,Awjilah,LY,29.1081,21.2869,82.89,28,0,5.06,clear sky
306,Kieta,PG,-6.2167,155.6333,79.95,77,100,2.64,overcast clouds
307,Kalmunai,LK,7.4167,81.8167,85.66,66,87,7.52,overcast clouds
308,Talaya,RU,61.3833,152.75,14.76,95,97,0.56,overcast clouds
309,Acapulco,MX,16.8634,-99.8901,80.42,89,100,3.44,overcast clouds
310,Nong Phai,TH,15.9903,101.0618,84.13,70,38,4.21,scattered clouds
311,Lebu,CL,-37.6167,-73.65,43.54,74,4,13.98,clear sky
312,Bubaque,GW,11.2833,-15.8333,81.48,78,64,13.76,broken clouds
313,Stevens Point,US,44.5236,-89.5746,43.59,85,40,5.75,scattered clouds
